"sbt_mtsn","sbt_assetid","sbt_messagetype","sbt_messagetimestampmst","sbt_tetherstate","sbt_tirestate","sbt_extpwr","sbt_movementstate","sbt_cargostate","sbt_latitude","sbt_longitude","sbt_battery","sbt_quality","sbt_geoname","sbt_city","sbt_state","sbt_country","sbt_geotypename","sbt_idlestatus","sbt_idleduration","sbt_idlegap","sbt_skyfencestatus","sbt_speed","sbt_heading","sbt_transid","etl_timestampUTC","CurrentRow"
"GXL7HLAG194141088","6104","Heartbeat","2024-06-16T22:56:45Z","Tether","Okay","0","Idle","Empty","27.67642","-99.47802","OK","0","SEALA5","Laredo                                            ","TX","US","None","IDLE","4.33","0","In","0.0","N ","2122684091","2024-06-17T05:05:11.663Z","0"
"GXL7HLAG194141013","6103","Heartbeat","2024-06-17T08:12:45Z","Tether","Okay","0","Idle","Loaded","29.79923","-95.27065","OK","0","WSHO3","Houston                                           ","TX","US","None","IDLE","3.2","0","In","0.0","N ","2123130684","2024-06-17T14:18:21.88Z","0"
"GXL7HLAG194141298","6096","Event","2024-06-17T11:10:15Z","Tether","Okay","0","Start","Loaded","39.77351","-104.83858","OK","0","Corner Store","Denver                                            ","CO","US","GENERIC","MOVING","","","n/a","80.0","W ","2123369839","2024-06-17T17:39:25.79Z","0"
"GXL7HLAG194141298","6096","Event","2024-06-17T11:25:50Z","Tether","Okay","0","Moving","Loaded","39.79092","-104.90505","OK","0","TA Commerce City","Commerce City                                     ","CO","US","GENERIC","MOVING","","","n/a","0.0","N ","2123391168","2024-06-17T17:51:51.593Z","0"
"GXL7HLAG194141298","6096","Event","2024-06-17T11:41:20Z","Tether","Okay","0","Moving","Loaded","39.7906","-104.90506","OK","0","TA Commerce City","Commerce City                                     ","CO","US","GENERIC","MOVING","","","n/a","0.0","N ","2123412882","2024-06-17T17:56:27.143Z","0"
"GXL7HLAG194141088","6104","Yard Move","2024-06-17T11:42:06Z","Tether","Okay","0","Idle","Empty","27.67677","-99.47746","OK","0","SEALA5","Laredo                                            ","TX","US","None","IDLE","4.86","0","In","0.0","N ","2123414990","2024-06-17T17:56:56.157Z","0"
"GXL7HLAG194141298","6096","Event","2024-06-17T11:56:50Z","Tether","Okay","0","Moving","Loaded","39.79122","-104.90469","OK","0","TA Commerce City","Commerce City                                     ","CO","US","GENERIC","MOVING","","","n/a","16.0","E ","2123435819","2024-06-17T18:08:20.493Z","0"
"GXT21SPD152578790","3645","Heartbeat","2024-06-17T11:57:42Z","Untether","","0","Idle","","29.59975","-98.29726","n/a","0","Garden Ridge","Garden Ridge","TX","US","GENERIC","","","","n/a","0","N","2156226619","2024-07-08T23:55:42.6421264Z","0"
"GXT21SPD152578790","3645","Heartbeat","2024-06-17T11:57:42Z","","Okay","0","","","29.59975","-98.29726","n/a","0","Garden Ridge","Garden Ridge","TX","US","GENERIC","","","","n/a","0","N","2156226619","2024-07-08T23:55:42.6421264Z","0"
"GXL7HLAG194141298","6096","Event","2024-06-17T12:12:20Z","Tether","Okay","0","Moving","Loaded","39.819","-104.98099","OK","0","Westminster East","Westminster East                                  ","CO","US","GENERIC","MOVING","","","n/a","86.0","SW","2123457571","2024-06-17T18:31:06.563Z","0"
"GXL7HLAG194141298","6096","Event","2024-06-17T12:19:26Z","Tether","Okay","0","Stop","Loaded","39.80701","-105.00119","OK","0","MVDDE1","Denver                                            ","CO","US","Yard","IDLE","0.04","0","In","0.0","W ","2123468249","2024-06-17T18:44:05.31Z","0"
"GXL7GLAG194037984","6100","Heartbeat","2024-06-17T14:04:16Z","Untether","Okay","0","Idle","Loaded","41.14426","-104.70435","OK","0","@Pilot Travel Center #402 (Cheyenne)","Cheyenne                                          ","WY","US","GENERIC","IDLE","8.04","0","n/a","0.0","N ","2123617972","2024-06-17T20:54:25.22Z","0"
"GXL7HLAG194141088","6104","Event","2024-06-17T15:27:13Z","Tether","Okay","0","Idle","Loaded","27.67678","-99.47749","OK","0","SEALA5","Laredo                                            ","TX","US","None","IDLE","5.02","0","In","0.0","N ","2123734661","2024-06-17T22:47:55.553Z","0"
"GXL7GLAG194037984","6100","Yard Move","2024-06-17T15:44:43Z","Untether","Okay","0","Idle","Loaded","41.14326","-104.70385","OK","0","@Pilot Travel Center #402 (Cheyenne)","Cheyenne                                          ","WY","US","GENERIC","IDLE","8.11","0","n/a","0.0","N ","2123757516","2024-06-17T23:27:24.44Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T16:20:41Z","Tether","","1","Moving","","31.82494","-106.34753","OK","0","TDDEP1","El Paso","TX","US","None","IDLE","11.1","0","In","0","N","2156253956","2024-07-09T00:08:24.3492396Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T16:20:41Z","","","1","","Empty","31.82494","-106.34753","OK","0","TDDEP1","El Paso","TX","US","None","IDLE","11.1","0","In","0","N","2156253956","2024-07-09T00:08:24.3492396Z","0"
"GXL7HLAG194141088","6104","Event","2024-06-17T16:23:15Z","Tether","Okay","0","Start","Loaded","27.68892","-99.46033","OK","0","@T/A (Laredo)","LAREDO                                            ","TX","US","GENERIC","MOVING","","","n/a","94.0","NE","2123809312","2024-06-18T00:14:29.64Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T16:26:14Z","Untether","","0","Moving","","31.82627","-106.34904","OK","0","TDDEP1","El Paso","TX","US","None","IDLE","11.1","0","In","0","N","2156254074","2024-07-09T00:08:24.3492396Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T16:26:14Z","","","0","","Empty","31.82627","-106.34904","OK","0","TDDEP1","El Paso","TX","US","None","IDLE","11.1","0","In","0","N","2156254074","2024-07-09T00:08:24.3492396Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T16:28:22Z","Tether","","1","Moving","","31.82635","-106.34911","OK","0","TDDEP1","El Paso","TX","US","None","IDLE","11.11","0","In","0","N","2156254223","2024-07-09T00:08:48.780698Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T16:28:22Z","","","1","","Empty","31.82635","-106.34911","OK","0","TDDEP1","El Paso","TX","US","None","IDLE","11.11","0","In","0","N","2156254223","2024-07-09T00:08:48.780698Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T16:30:59Z","Untether","","0","Moving","","31.82635","-106.34911","OK","0","TDDEP1","El Paso","TX","US","None","IDLE","11.11","0","In","0","N","2156254348","2024-07-09T00:08:48.780698Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T16:30:59Z","","","0","","Empty","31.82635","-106.34911","OK","0","TDDEP1","El Paso","TX","US","None","IDLE","11.11","0","In","0","N","2156254348","2024-07-09T00:08:48.780698Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T16:34:17Z","Tether","","1","Moving","","31.82679","-106.34975","OK","0","TDDEP1","El Paso","TX","US","None","IDLE","11.11","0","In","0","N","2156254447","2024-07-09T00:08:48.780698Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T16:34:17Z","","","1","","Empty","31.82679","-106.34975","OK","0","TDDEP1","El Paso","TX","US","None","IDLE","11.11","0","In","0","N","2156254447","2024-07-09T00:08:48.780698Z","0"
"GXL7HLAG194141088","6104","Event","2024-06-17T16:38:50Z","Tether","Okay","0","Moving","Loaded","27.89995","-99.39606","OK","0","Encinal","Encinal                                           ","TX","US","GENERIC","MOVING","","","n/a","25.0","N ","2123829168","2024-06-18T00:28:19.08Z","0"
"GXL7HLAG194141088","6104","Event","2024-06-17T16:54:20Z","Tether","Okay","0","Moving","Loaded","28.09766","-99.3369","OK","0","Encinal","Encinal                                           ","TX","US","GENERIC","MOVING","","","n/a","111.0","N ","2123848808","2024-06-18T00:48:45.737Z","0"
"GXL7HLAG194141088","6104","Event","2024-06-17T17:09:50Z","Tether","Okay","0","Moving","Loaded","28.344","-99.27192","OK","0","Artesia Wells","Artesia Wells                                     ","TX","US","GENERIC","MOVING","","","n/a","109.0","N ","2123867877","2024-06-18T01:07:47.997Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T17:17:12Z","Untether","","0","Moving","","31.92668","-106.43879","n/a","0","M1EP3","El Paso","TX","US","None","MOVING","","","In","0","N","2156254555","2024-07-09T00:08:48.780698Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T17:17:12Z","","","0","","Empty","31.92668","-106.43879","n/a","0","M1EP3","El Paso","TX","US","None","MOVING","","","In","0","N","2156254555","2024-07-09T00:08:48.780698Z","0"
"GXL7HLAG194141088","6104","Event","2024-06-17T17:25:20Z","Tether","Okay","0","Moving","Loaded","28.591","-99.19353","OK","0","Dilley","Dilley                                            ","TX","US","GENERIC","MOVING","","","n/a","109.0","N ","2123887487","2024-06-18T01:17:02.87Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T17:25:31Z","Tether","","1","Moving","","31.92665","-106.43874","n/a","0","M1EP3","El Paso","TX","US","None","MOVING","","","In","1","NE","2156254556","2024-07-09T00:08:48.780698Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T17:25:31Z","","","1","","Empty","31.92665","-106.43874","n/a","0","M1EP3","El Paso","TX","US","None","MOVING","","","In","1","NE","2156254556","2024-07-09T00:08:48.780698Z","0"
"GXL7HLAG194141088","6104","Event","2024-06-17T17:40:50Z","Tether","Okay","0","Moving","Loaded","28.82851","-99.11567","OK","0","Pearsall","Pearsall                                          ","TX","US","GENERIC","MOVING","","","n/a","107.0","N ","2123905905","2024-06-18T01:48:27.63Z","0"
"GXL7HLAG194141088","6104","Event","2024-06-17T17:56:20Z","Tether","Okay","0","Moving","Loaded","29.02967","-99.05021","OK","0","Amigo'S Fuel Center","Moore                                             ","TX","US","GENERIC","MOVING","","","n/a","0.0","SE","2123924759","2024-06-18T01:53:12.427Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T18:11:23Z","Untether","","0","Moving","","31.78192","-106.40928","OK","0","M1EP4","El Paso","TX","US","None","MOVING","","","In","0","N","2156254966","2024-07-09T00:09:23.9243383Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T18:11:23Z","","","0","","Empty","31.78192","-106.40928","OK","0","M1EP4","El Paso","TX","US","None","MOVING","","","In","0","N","2156254966","2024-07-09T00:09:23.9243383Z","0"
"GXL7HLAG194141088","6104","Event","2024-06-17T18:11:50Z","Tether","Okay","0","Moving","Loaded","29.02936","-99.05009","OK","0","Amigo'S Fuel Center","Moore                                             ","TX","US","GENERIC","MOVING","","","n/a","11.0","SE","2123942640","2024-06-18T01:57:16.043Z","0"
"GXL7HLAG194141088","6104","Event","2024-06-17T18:27:20Z","Tether","Okay","0","Moving","Loaded","29.16405","-98.86232","OK","0","Natalia","Natalia                                           ","TX","US","GENERIC","MOVING","","","n/a","110.0","NE","2123961251","2024-06-18T02:02:21.64Z","0"
"GXL7HLAG194141088","6104","Event","2024-06-17T18:42:50Z","Tether","Okay","0","Moving","Loaded","29.30347","-98.62349","OK","0","@Ram T/C #16 (Von Ormy)","VON ORMY                                          ","TX","US","GENERIC","MOVING","","","n/a","104.0","NE","2123979211","2024-06-18T02:11:59.96Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T18:47:26Z","Tether","","1","Moving","","31.78175","-106.40944","OK","0","Ncn Texaco","El Paso","TX","US","GENERIC","MOVING","","","n/a","0","N","2156255241","2024-07-09T00:09:44.9284157Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T18:47:26Z","","","1","","Empty","31.78175","-106.40944","OK","0","Ncn Texaco","El Paso","TX","US","GENERIC","MOVING","","","n/a","0","N","2156255241","2024-07-09T00:09:44.9284157Z","0"
"GXL7HLAG194141088","6104","Event","2024-06-17T18:58:20Z","Tether","Okay","0","Moving","Loaded","29.43909","-98.45317","OK","0","Fort Sam Chevron","San Antonio                                       ","TX","US","GENERIC","MOVING","","","n/a","110.0","E ","2123996883","2024-06-18T02:26:15.21Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T19:07:12Z","Untether","","0","Moving","","31.82639","-106.34924","OK","0","TDDEP1","El Paso","TX","US","None","MOVING","","","In","0","N","2156255607","2024-07-09T00:09:44.9284157Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T19:07:12Z","","","0","","Empty","31.82639","-106.34924","OK","0","TDDEP1","El Paso","TX","US","None","MOVING","","","In","0","N","2156255607","2024-07-09T00:09:44.9284157Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T19:09:22Z","Tether","","1","Moving","","31.82483","-106.34832","OK","0","TDDEP1","El Paso","TX","US","None","MOVING","","","In","0","N","2156255693","2024-07-09T00:09:44.9284157Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T19:09:22Z","","","1","","Empty","31.82483","-106.34832","OK","0","TDDEP1","El Paso","TX","US","None","MOVING","","","In","0","N","2156255693","2024-07-09T00:09:44.9284157Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T19:13:12Z","Untether","","0","Moving","","31.82483","-106.34832","OK","0","TDDEP1","El Paso","TX","US","None","MOVING","","","In","0","N","2156255788","2024-07-09T00:10:13.9871616Z","0"
"GXL7GLAG193936176","6976","Event","2024-06-17T19:13:12Z","","","0","","Empty","31.82483","-106.34832","OK","0","TDDEP1","El Paso","TX","US","None","MOVING","","","In","0","N","2156255788","2024-07-09T00:10:13.9871616Z","0"
"GXL7ESPD184968703","6098","Heartbeat","2024-06-17T21:04:27Z","","","0","Idle","Loaded","41.14428","-104.70991","OK","0","@Pilot Travel Center #402 (Cheyenne)","Cheyenne                                          ","WY","US","GENERIC","IDLE","2.04","0","n/a","0.0","N ","2124128933","2024-06-18T04:43:02.127Z","0"
